exitCriteria,startX,startY,endX,endY,repetitions,fastSpeed,slowSpeed,startShapeRadius,endShapeRadius,fastDuration,slowDuration,startMode,delay,duration,xType
Time,10,600,170,600,1,0,0,8,8,500,500,After,0,4000,degrees
Time,10,600,10,600,1,0,0,8,8,500,500,After,0,1000,degrees
spacer,30,600,30,600,1,0,0,8,8,500,500,After,0,1000,degrees
Time,30,600,30,600,1,0,0,8,8,500,500,After,0,1000,degrees
spacer,50,600,50,600,1,0,0,8,8,500,500,After,0,1000,degrees
Time,50,600,50,600,1,0,0,8,8,500,500,After,0,1000,degrees
spacer,10,600,10,600,1,0,0,8,8,500,500,After,0,1000,degrees
Time,70,600,70,600,1,0,0,8,8,500,500,After,0,1000,degrees
spacer,10,600,10,600,1,0,0,8,8,500,500,After,0,1000,degrees
Time,90,600,90,600,1,0,0,8,8,500,500,After,0,1000,degrees
spacer,10,600,10,600,1,0,0,8,8,500,500,After,0,1000,degrees
Time,110,600,110,600,1,0,0,8,8,500,500,After,0,1000,degrees
spacer,30,600,30,600,1,0,0,8,8,500,500,After,0,1000,degrees
Time,130,600,130,600,1,0,0,8,8,500,500,After,0,1000,degrees
spacer,50,600,50,600,1,0,0,8,8,500,500,After,0,1000,degrees
Time,150,600,150,600,1,0,0,8,8,500,500,After,0,1000,degrees
spacer,10,600,10,600,1,0,0,8,8,500,500,After,0,1000,degrees
Time,170,600,170,600,1,0,0,8,8,500,500,After,0,1000,degrees
